Name	WikiID	Introduction
Aristotle	308	Aristotle (; Greek: Ἀριστοτέλης, pronounced [aristotélɛːs], Aristotélēs; 384–322 BC) was an ancient Greek philosopher and scientist born in the city of Stagira, Chalkidice, on the northern periphery of Classical Greece. His father, Nicomachus, died when Aristotle was a child, whereafter Proxenus of Atarneus became his guardian. At seventeen or eighteen years of age, he joined Plato's Academy in Athens and remained there until the age of thirty-seven (c. 347 BC). His writings cover many subjects – including physics, biology, zoology, metaphysics, logic, ethics, aesthetics, poetry, theater, music, rhetoric, linguistics, politics and government – and constitute the first comprehensive system of Western philosophy. Shortly after Plato died, Aristotle left Athens and, at the request of Philip II of Macedon, tutored Alexander the Great beginning in 343 BC. Teaching Alexander the Great gave Aristotle many opportunities and an abundance of supplies. He established a library in the Lyceum which aided in the production of many of his hundreds of books, which were written on papyrus scrolls. The fact that Aristotle was a pupil of Plato contributed to his former views of Platonism, but, following Plato's death, Aristotle immersed himself in empirical studies and shifted from Platonism to empiricism. He believed all peoples' concepts and all of their knowledge was ultimately based on perception. Aristotle's views on natural sciences represent the groundwork underlying many of his works. Aristotle's views on physical science profoundly shaped medieval scholarship. Their influence extended from Late Antiquity and the Early Middle Ages into the Renaissance, and were not replaced systematically until the Enlightenment and theories such as classical mechanics. Some of Aristotle's zoological observations, such as on the hectocotyl (reproductive) arm of the octopus, were not confirmed or refuted until the 19th century. His works contain the earliest known formal study of logic, which was incorporated in the late 19th century into modern formal logic. In metaphysics, Aristotelianism profoundly influenced Jewish and Islamic philosophical and theological thought during the Middle Ages and continues to influence Christian theology, especially the Neoplatonism of the Early Church and the scholastic tradition of the Roman Catholic Church. Aristotle was well known among medieval Muslim scholars, and has been revered as "The First Teacher" (Arabic: المعلم الأول‎‎). His ethics, though always influential, gained renewed interest with the modern advent of virtue ethics. All aspects of Aristotle's philosophy continue to be the object of active academic study today. Though Aristotle wrote many elegant treatises and dialogues – Cicero described his literary style as "a river of gold" – it is thought that only around a third of his original output has survived.
Plato	22954	Plato (; Greek: Πλάτων Plátōn, pronounced [plá.tɔːn] in Classical Attic; 428/427 or 424/423 – 348/347 BC) was a philosopher in Classical Greece and the founder of the Academy in Athens, the first institution of higher learning in the Western world. He is widely considered the most pivotal figure in the development of philosophy, especially the Western tradition. Unlike nearly all of his philosophical contemporaries, Plato's entire work is believed to have survived intact for over 2,400 years. Others believe that the oldest extant manuscript dates to circa. AD 895, 1100 years after Plato's death. This makes it difficult to know exactly what Plato wrote. Along with his teacher, Socrates, and his most famous student, Aristotle, Plato laid the very foundations of Western philosophy and science. Alfred North Whitehead once noted: "the safest general characterization of the European philosophical tradition is that it consists of a series of footnotes to Plato." In addition to being a foundational figure for Western science, philosophy, and mathematics, Plato has also often been cited as one of the founders of Western religion and spirituality. Plato's influence on Christianity is often thought to be mediated by his major influence on Saint Augustine of Hippo, one of the most important philosophers and theologians in the foundation of the Western thought. In the 19th century, the philosopher Nietzsche called Christianity "Platonism for the people". Numenius of Apamea viewed this differently, he called Plato the Hellenic Moses. This would justify the superiority of Christianity over Hellenism because Moses predates Plato - thus the original source of this wisdom is the root of Christianity and not Hellenistic culture. Plato was the innovator of the written dialogue and dialectic forms in philosophy. Plato appears to have been the founder of Western political philosophy, with his Republic, and Laws among other dialogues, providing some of the earliest extant treatments of political questions from a philosophical perspective. Plato's own most decisive philosophical influences are usually thought to have been Socrates, Parmenides, Heraclitus and Pythagoras, although few of his predecessors' works remain extant and much of what we know about these figures today derives from Plato himself. The Stanford Encyclopedia of Philosophy describes Plato as "...one of the most dazzling writers in the Western literary tradition and one of the most penetrating, wide-ranging, and influential authors in the history of philosophy. ... He was not the first thinker or writer to whom the word “philosopher” should be applied. But he was so self-conscious about how philosophy should be conceived, and what its scope and ambitions properly are, and he so transformed the intellectual currents with which he grappled, that the subject of philosophy, as it is often conceived—a rigorous and systematic examination of ethical, political, metaphysical, and epistemological issues, armed with a distinctive method—can be called his invention. Few other authors in the history of Western philosophy approximate him in depth and range: perhaps only Aristotle (who studied with him), Aquinas and Kant would be generally agreed to be of the same rank."
Jesus Christ	1095706	Jesus ( JEE-zuss; Greek: Ἰησοῦς, translit. Iesous; Hebrew: ישוע‎, translit. Yēšū́aʿ‎; c. 4 BC – c. 30/33 AD), also referred to as Jesus of Nazareth or Jesus Christ, was a Jewish preacher and religious leader who became the central figure of Christianity. Christians believe him to be the Son of God and the awaited Messiah (Christ) prophesied in the Old Testament. Virtually all modern scholars of antiquity agree that Jesus existed historically, although the quest for the historical Jesus has produced little agreement on the historical reliability of the Gospels and on how closely the biblical Jesus reflects the historical Jesus. Jesus was a Galilean Jew who was baptized by John the Baptist and subsequently began his own ministry, preaching his message orally and often being referred to as "rabbi". He was arrested and tried by the Jewish religious authorities, and turned over to the Roman government, and was subsequently crucified on the order of Pontius Pilate, the Roman prefect. Jesus debated fellow Jews on how to best follow God, performed healings, taught in parables and gathered followers. After his death, his followers believed he rose from the dead, and the community they formed eventually became the Christian Church. His birth is celebrated annually on December 25 (or various dates in January for some eastern churches) as a holiday known as Christmas, his crucifixion is honored on Good Friday, and his resurrection is celebrated on Easter. The widely used calendar era "AD", from the Latin anno Domini ("in the year of the Lord"), and the alternative "CE", are based on the approximate birth date of Jesus. Christian doctrines include the beliefs that Jesus was conceived by the Holy Spirit, was born of a virgin named Mary, performed miracles, founded the Church, died by crucifixion as a sacrifice to achieve atonement, rose from the dead, and ascended into Heaven, whence he will return. Most Christians believe Jesus enables humans to be reconciled to God. The Nicene Creed asserts that Jesus will judge the living and the dead either before or after their bodily resurrection, an event tied to the Second Coming of Jesus in Christian eschatology. The great majority of Christians worship Jesus as the incarnation of God the Son, the second of three persons of a Divine Trinity. A minority of Christian denominations reject Trinitarianism, wholly or partly, as non-scriptural. In Islam, Jesus (commonly transliterated as Isa) is considered one of God's important prophets and the Messiah. Muslims believe Jesus was a bringer of scripture and was born of a virgin but was not the Son of God. The Quran states that Jesus himself never claimed divinity. To most Muslims, Jesus was not crucified but was physically raised into Heaven by God. Judaism rejects the belief that Jesus was the awaited Messiah, arguing that he did not fulfill Messianic prophecies and asserting that his resurrection is a Christian legend.
Socrates	25664190	Socrates (; Greek: Σωκράτης [sɔːkrátɛːs], Sōkrátēs; 470/469 – 399 BC) was a classical Greek (Athenian) philosopher credited as one of the founders of Western philosophy. He is an enigmatic figure known chiefly through the accounts of classical writers, especially the writings of his students Plato and Xenophon and the plays of his contemporary Aristophanes. Plato's dialogues are among the most comprehensive accounts of Socrates to survive from antiquity, though it is unclear the degree to which Socrates himself is "hidden behind his 'best disciple', Plato". Through his portrayal in Plato's dialogues, Socrates has become renowned for his contribution to the field of ethics, and it is this Platonic Socrates who lends his name to the concepts of Socratic irony and the Socratic method, or elenchus. The latter remains a commonly used tool in a wide range of discussions, and is a type of pedagogy in which a series of questions is asked not only to draw individual answers, but also to encourage fundamental insight into the issue at hand. Plato's Socrates also made important and lasting contributions to the field of epistemology, and his ideologies and approach have proven a strong foundation for much Western philosophy that has followed.
Alexander the Great	783	Alexander III of Macedon (20/21 July 356 BC – 10/11 June 323 BC), commonly known as Alexander the Great (Greek: Ἀλέξανδρος ὁ Μέγας, Aléxandros ho Mégas Koine Greek: [a.lék.san.dros ho mé.gas]), was a king (basileus) of the Ancient Greek kingdom of Macedon and a member of the Argead dynasty. He was born in Pella in 356 BC and succeeded his father Philip II to the throne at the age of twenty. He spent most of his ruling years on an unprecedented military campaign through Asia and northeast Africa, and he had created one of the largest empires of the ancient world by the age of thirty, stretching from Greece to northwestern India. He was undefeated in battle and is widely considered one of history's most successful military commanders. During his youth, Alexander was tutored by Aristotle until the age of 16. After Philip's assassination in 336 BC, he succeeded his father to the throne and inherited a strong kingdom and an experienced army. Alexander was awarded the generalship of Greece and used this authority to launch his father's Panhellenic project to lead the Greeks in the conquest of Persia. In 334 BC, he invaded the Achaemenid Empire (Persian Empire) and began a series of campaigns that lasted ten years. Following the conquest of Anatolia, Alexander broke the power of Persia in a series of decisive battles, most notably the battles of Issus and Gaugamela. He subsequently overthrew Persian King Darius III and conquered the Achaemenid Empire in its entirety. At that point, his empire stretched from the Adriatic Sea to the Indus River. He sought to reach the "ends of the world and the Great Outer Sea" and invaded India in 326 BC, winning an important victory over the Pauravas at the Battle of the Hydaspes. He eventually turned back at the demand of his homesick troops. Alexander died in Babylon in 323 BC, the city that he planned to establish as his capital, without executing a series of planned campaigns that would have begun with an invasion of Arabia. In the years following his death, a series of civil wars tore his empire apart, resulting in the establishment of several states ruled by the Diadochi, Alexander's surviving generals and heirs. Alexander's legacy includes the cultural diffusion and syncretism which his conquests engendered, such as Greco-Buddhism. He founded some twenty cities that bore his name, most notably Alexandria in Egypt. Alexander's settlement of Greek colonists and the resulting spread of Greek culture in the east resulted in a new Hellenistic civilization, aspects of which were still evident in the traditions of the Byzantine Empire in the mid-15th century AD and the presence of Greek speakers in central and far eastern Anatolia until the 1920s. Alexander became legendary as a classical hero in the mold of Achilles, and he features prominently in the history and mythic traditions of both Greek and non-Greek cultures. He became the measure against which military leaders compared themselves, and military academies throughout the world still teach his tactics. He is often ranked among the most influential people in human history.
Leonardo da Vinci	18079	Leonardo di ser Piero da Vinci (Italian: [leoˈnardo di ˌsɛr ˈpjɛːro da (v)ˈvintʃi]; 15 April 1452 – 2 May 1519), more commonly Leonardo da Vinci or simply Leonardo, was an Italian Renaissance polymath whose areas of interest included invention, painting, sculpting, architecture, science, music, mathematics, engineering, literature, anatomy, geology, astronomy, botany, writing, history, and cartography. He has been variously called the father of palaeontology, ichnology, and architecture, and is widely considered one of the greatest painters of all time. Sometimes credited with the inventions of the parachute, helicopter and tank, he epitomised the Renaissance humanist ideal. Many historians and scholars regard Leonardo as the prime exemplar of the "Universal Genius" or "Renaissance Man", an individual of "unquenchable curiosity" and "feverishly inventive imagination". According to art historian Helen Gardner, the scope and depth of his interests were without precedent in recorded history, and "his mind and personality seem to us superhuman, while the man himself mysterious and remote". Marco Rosci notes that while there is much speculation regarding his life and personality, his view of the world was logical rather than mysterious, and that the empirical methods he employed were unorthodox for his time. Born out of wedlock to a notary, Piero da Vinci, and a peasant woman, Caterina, in Vinci in the region of Florence, Leonardo was educated in the studio of the renowned Florentine painter Andrea del Verrocchio. Much of his earlier working life was spent in the service of Ludovico il Moro in Milan. He later worked in Rome, Bologna and Venice, and he spent his last years in France at the home awarded to him by Francis I of France. Leonardo was, and is, renowned primarily as a painter. Among his works, the Mona Lisa is the most famous and most parodied portrait and The Last Supper the most reproduced religious painting of all time. Leonardo's drawing of the Vitruvian Man is also regarded as a cultural icon, being reproduced on items as varied as the euro coin, textbooks, and T-shirts. Perhaps fifteen of his paintings have survived. Nevertheless, these few works, together with his notebooks, which contain drawings, scientific diagrams, and his thoughts on the nature of painting, compose a contribution to later generations of artists rivalled only by that of his contemporary, Michelangelo. Leonardo is revered for his technological ingenuity. He conceptualised flying machines, a type of armoured fighting vehicle, concentrated solar power, an adding machine, and the double hull. Relatively few of his designs were constructed or even feasible during his lifetime, as the modern scientific approaches to metallurgy and engineering were only in their infancy during the Renaissance. Some of his smaller inventions, however, such as an automated bobbin winder and a machine for testing the tensile strength of wire, entered the world of manufacturing unheralded. A number of Leonardo's most practical inventions are nowadays displayed as working models at the Museum of Vinci. He made substantial discoveries in anatomy, civil engineering, geology, optics, and hydrodynamics, but he did not publish his findings and they had no direct influence on later science. Today, Leonardo is widely considered one of the most diversely talented individuals ever to have lived.
Confucius	5823	Confucius (; September 28, 551 BC – 479 BC) was a Chinese teacher, editor, politician, and philosopher of the Spring and Autumn period of Chinese history. The philosophy of Confucius emphasized personal and governmental morality, correctness of social relationships, justice and sincerity. His followers competed successfully with many other schools during the Hundred Schools of Thought era only to be suppressed in favor of the Legalists during the Qin Dynasty. Following the victory of Han over Chu after the collapse of Qin, Confucius's thoughts received official sanction and were further developed into a system known in the West as Confucianism. Confucius is traditionally credited with having authored or edited many of the Chinese classic texts including all of the Five Classics, but modern scholars are cautious of attributing specific assertions to Confucius himself. Aphorisms concerning his teachings were compiled in the Analects, but only many years after his death. Confucius's principles had a basis in common Chinese tradition and belief. He championed strong family loyalty, ancestor veneration, and respect of elders by their children and of husbands by their wives. He also recommended family as a basis for ideal government. He espoused the well-known principle "Do not do to others what you do not want done to yourself", the Golden Rule. Confucius is also a traditional deity in Daoism.
Julius Caesar	15924	Gaius Julius Caesar (Classical Latin orthography: CAIVS IVLIVS CAESAR, Classical Latin: [ˈɡaː.i.ʊs ˈjuː.li.ʊs ˈkae̯.sar]; 13 July 100 BC – 15 March 44 BC), mostly known as Julius Caesar (Classical Latin: IVLIVS CAESAR), was a Roman politician, general, and notable author of Latin prose. He played a critical role in the events that led to the demise of the Roman Republic and the rise of the Roman Empire. In 60 BC, Caesar, Crassus, and Pompey formed a political alliance that dominated Roman politics for several years. Their attempts to amass power as Populares were opposed by the Optimates within the Roman Senate, among them Cato the Younger with the frequent support of Cicero. Caesar's victories in the Gallic Wars, completed by 51 BC, extended Rome's territory to the English Channel and the Rhine. Caesar became the first Roman general to cross both the Channel and the Rhine, when he built a bridge across the Rhine and crossed the Channel to invade Britain. These achievements granted him unmatched military power and threatened to eclipse the standing of Pompey, who had realigned himself with the Senate after the death of Crassus in 53 BC. With the Gallic Wars concluded, the Senate ordered Caesar to step down from his military command and return to Rome. Caesar refused the order, and instead marked his defiance in 49 BC by crossing the Rubicon with the 13th Legion, leaving his province and illegally entering Roman Italy under arms. Civil war resulted, and Caesar's victory in the war put him in an unrivalled position of power and influence. After assuming control of government, Caesar began a programme of social and governmental reforms, including the creation of the Julian calendar. He centralised the bureaucracy of the Republic and was eventually proclaimed "dictator in perpetuity", giving him additional authority. But the underlying political conflicts had not been resolved, and on the Ides of March (15 March) 44 BC, Caesar was assassinated by a group of rebellious senators led by Marcus Junius Brutus. A new series of civil wars broke out, and the constitutional government of the Republic was never fully restored. Caesar's adopted heir Octavian, later known as Augustus, rose to sole power after defeating his opponents in the civil war. Octavian set about solidifying his power, and the era of the Roman Empire began. Much of Caesar's life is known from his own accounts of his military campaigns, and from other contemporary sources, mainly the letters and speeches of Cicero and the historical writings of Sallust. The later biographies of Caesar by Suetonius and Plutarch are also major sources. Caesar is considered by many historians to be one of the greatest military commanders in history.
Homer	13633	Homer (Ancient Greek: Ὅμηρος [hómɛːros], Hómēros) is the name ascribed by the ancient Greeks to the author of the Iliad and the Odyssey, two epic poems which are the central works of ancient Greek literature. The Iliad is set during the Trojan War, the ten-year siege of the city of Troy by a coalition of Greek states. It focuses on a quarrel between King Agamemnon and the warrior Achilles lasting a few weeks during the last year of the war. The Odyssey focuses on the journey home of Odysseus, king of Ithaca, after the fall of Troy. Many accounts of Homer's life circulated in classical antiquity, the most widespread being that he was a blind bard from Ionia, a region of central coastal Anatolia in present-day Turkey. Current scholarship suggests that these traditions are merely legends. The Homeric Question—by whom, when, where and under what circumstances were the Iliad and Odyssey composed—continues to be debated. Broadly speaking, modern scholarly opinion falls into two groups. One holds that most of the Iliad and (according to some) the Odyssey are the works of a single poet of genius. The other considers the Homeric poems to be the result of a process of working and re-working by many contributors, and that "Homer" is best seen as a label for an entire tradition. It is generally accepted that the poems were composed at some point around the late 8th or early 7th century BCE. The poems are in Homeric Greek, also known as Epic Greek, a literary language which shows a mixture of features of the Ionic and Aeolic dialects from different centuries; the predominant influence is Eastern Ionic. Most researchers believe that the poems were originally transmitted orally. From antiquity until the present day, the influence of the Homeric epics on Western civilization has been great, inspiring many of its most famous works of literature, music, art and film. The Homeric epics were the greatest influence on ancient Greek culture and education; to Plato, Homer was simply the one who "has taught Greece" – ten Hellada pepaideuken.
Pythagoras	23275	Pythagoras of Samos (US: ; UK: ; Greek: Πυθαγόρας ὁ Σάμιος Pythagóras ho Sámios "Pythagoras the Samian", or simply Πυθαγόρας; Πυθαγόρης in Ionian Greek; c. 570–495 BC) was an Ionian Greek philosopher, mathematician, and putative founder of the Pythagoreanism movement. He is often revered as a great mathematician and scientist and is best known for the Pythagorean theorem which bears his name. Legend and obfuscation cloud his work, so it is uncertain whether he truly contributed much to mathematics or natural philosophy. Many of the accomplishments credited to Pythagoras may actually have been accomplishments of his colleagues or successors. Some accounts mention that the philosophy associated with Pythagoras was related to mathematics and that numbers were important. It was said that he was the first man to call himself a philosopher, or lover of wisdom, and Pythagorean ideas exercised a marked influence on Plato, and through him, all of Western philosophy.
